ID,FPS,"LoopType (0: Single, 1: Loop)",,,
Trap,10,1,,,
,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
assets/player/cappy/unit_cappy.png,244,221,71,71,0
assets/player/cappy/unit_cappy.png,315,219,71,71,0
assets/player/cappy/unit_cappy.png,386,220,71,71,0
assets/player/cappy/unit_cappy.png,244,221,71,71,0
assets/player/cappy/unit_cappy.png,315,220,71,71,0
assets/player/cappy/unit_cappy.png,386,219,71,71,0
assets/player/cappy/unit_cappy.png,244,220,71,71,0
assets/player/cappy/unit_cappy.png,315,219,71,71,0
assets/player/cappy/unit_cappy.png,386,220,71,71,0
assets/player/cappy/unit_cappy.png,244,221,71,71,0
assets/player/cappy/unit_cappy.png,315,219,71,71,0
assets/player/cappy/unit_cappy.png,386,220,71,71,0
assets/player/cappy/unit_cappy.png,244,221,71,71,0
assets/player/cappy/unit_cappy.png,315,220,71,71,0
assets/player/cappy/unit_cappy.png,386,219,71,71,0
assets/player/cappy/unit_cappy.png,244,220,71,71,0
assets/player/cappy/unit_cappy.png,315,219,71,71,0
assets/player/cappy/unit_cappy.png,386,220,71,71,0
assets/player/cappy/unit_cappy.png,244,221,71,71,0
assets/player/cappy/unit_cappy.png,315,219,71,71,0
assets/player/cappy/unit_cappy.png,386,220,71,71,0
assets/player/cappy/unit_cappy.png,244,221,71,71,0
assets/player/cappy/unit_cappy.png,315,220,71,71,0
assets/player/cappy/unit_cappy.png,386,219,71,71,0
assets/player/cappy/unit_cappy.png,244,220,71,71,0
assets/player/cappy/unit_cappy.png,315,219,71,71,0
assets/player/cappy/unit_cappy.png,386,220,71,71,0
assets/player/cappy/unit_cappy.png,244,221,71,71,0
assets/player/cappy/unit_cappy.png,315,219,71,71,0
assets/player/cappy/unit_cappy.png,386,220,71,71,0
assets/player/cappy/unit_cappy.png,244,221,71,71,0
assets/player/cappy/unit_cappy.png,315,220,71,71,0
assets/player/cappy/unit_cappy.png,386,219,71,71,0
assets/player/cappy/unit_cappy.png,244,220,71,71,0
assets/player/cappy/unit_cappy.png,315,219,71,71,0
assets/player/cappy/unit_cappy.png,386,220,71,71,0
assets/player/cappy/unit_cappy.png,244,221,71,71,0
assets/player/cappy/unit_cappy.png,315,220,71,71,0
assets/player/cappy/unit_cappy.png,386,219,71,71,0
assets/player/cappy/unit_cappy.png,386,220,71,71,0
assets/player/cappy/unit_cappy.png,456,221,71,71,0
