ID,FPS,"LoopType (0: Single, 1: Loop)",,,
Trap,10,1,,,
,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
assets/player/marid/unit_marid.png,208,269,71,71,0
assets/player/marid/unit_marid.png,277,268,71,71,0
assets/player/marid/unit_marid.png,350,267,71,71,0
assets/player/marid/unit_marid.png,208,268,71,71,0
assets/player/marid/unit_marid.png,277,269,71,71,0
assets/player/marid/unit_marid.png,350,269,71,71,0
assets/player/marid/unit_marid.png,208,268,71,71,0
assets/player/marid/unit_marid.png,277,267,71,71,0
assets/player/marid/unit_marid.png,350,268,71,71,0
assets/player/marid/unit_marid.png,208,269,71,71,0
assets/player/marid/unit_marid.png,277,268,71,71,0
assets/player/marid/unit_marid.png,350,267,71,71,0
assets/player/marid/unit_marid.png,208,268,71,71,0
assets/player/marid/unit_marid.png,277,269,71,71,0
assets/player/marid/unit_marid.png,350,269,71,71,0
assets/player/marid/unit_marid.png,208,268,71,71,0
assets/player/marid/unit_marid.png,277,267,71,71,0
assets/player/marid/unit_marid.png,350,268,71,71,0
assets/player/marid/unit_marid.png,208,269,71,71,0
assets/player/marid/unit_marid.png,277,268,71,71,0
assets/player/marid/unit_marid.png,350,267,71,71,0
assets/player/marid/unit_marid.png,208,268,71,71,0
assets/player/marid/unit_marid.png,277,269,71,71,0
assets/player/marid/unit_marid.png,350,269,71,71,0
assets/player/marid/unit_marid.png,208,268,71,71,0
assets/player/marid/unit_marid.png,277,267,71,71,0
assets/player/marid/unit_marid.png,350,268,71,71,0
assets/player/marid/unit_marid.png,208,269,71,71,0
assets/player/marid/unit_marid.png,277,268,71,71,0
assets/player/marid/unit_marid.png,350,267,71,71,0
assets/player/marid/unit_marid.png,208,268,71,71,0
assets/player/marid/unit_marid.png,277,269,71,71,0
assets/player/marid/unit_marid.png,350,269,71,71,0
assets/player/marid/unit_marid.png,208,268,71,71,0
assets/player/marid/unit_marid.png,277,267,71,71,0
assets/player/marid/unit_marid.png,350,268,71,71,0
assets/player/marid/unit_marid.png,208,269,71,71,0
assets/player/marid/unit_marid.png,277,268,71,71,0
assets/player/marid/unit_marid.png,350,267,71,71,0
assets/player/marid/unit_marid.png,350,268,71,71,0
assets/player/marid/unit_marid.png,420,269,71,71,0
